mes_id,aeropuerto_oaci,internacional_domestico,cnt_operaciones
200106.0,SCVD,D,106.0
200106.0  ,SCVM,D,558.0
200107.0,SCAR,D,414.0
200107.0,SCAR,I,81.0
200107.0,SCBA,D,266.0
200107.0,SCCC,D,47.0
200107.0,SCCF,D,331.0
200107.0,SCCH,D,
200107.0,SCCI,D,479.0
200107.0,SCCI,I,14.0
,SCCY,D,193.0
200107.0,SCDA,D,1179.0
200107.0,SCDA,I,56.0
,SCEL,D,2905.0
200107.0,SCEL,I,2801.0
200107.0,,D,65.0
200107.0,SCFA,D,1324.0
200107.0,SCFA,I,
200107.0,SCFM,D,136.0
200107.0,SCGE,D,
200107.0,SCGZ  ,D,30.0  
200107.0,SCHA  ,D,391.0
200107.0,SCHR,D,29.0
200107.0,SCIC,D,220.0
200107.0,SCIE  ,D,1026.0
200107.0,SCIE,I,2.0
200107.0,SCIP,D,22.0  
200107.0,SCIP,I,16.0
200107.0,SCJO  ,D,387.0
,SCLC,D  ,935.0
200107.0,SCLL,D,24.0
200107.0  ,SCNT,D,4.0
